level1,neighbors
A6732-09-006,"A6732-09-003,A6732-11-006,A6732-09-007,A6732-09-004,A6732-09-005,"
A6732-09-007,"A6732-11-009,A6732-09-009,A6732-09-006,A6732-09-005,"
A6732-09-004,"A6732-09-003,A6732-09-006,A6732-09-005,"
A6732-09-005,"A6732-09-002,A6732-09-003,A6732-09-001,A6732-09-006,A6732-09-007,A6732-09-004,A6732-09-008,A6732-05-014,A6732-05-008,"
A6732-09-008,"A6732-14-002,A6732-14-005,A6732-09-005,A6732-09-009,A6732-18-002,A6732-18-003,A6732-05-014,"
A6732-09-009,"A6732-11-009,A6732-09-007,A6732-18-004,A6732-18-005,A6732-09-008,A6732-18-001,A6732-19-001,"
A6727-06-003,"A6727-06-002,A6727-05-002,A6727-05-003,"
A6737-05-007,"A6737-05-006,A6737-05-008,A6736-04-001,"
A6737-05-006,"A6737-05-007,A6736-03-004,A6736-03-005,"
A6737-05-001,"A6734-39-001,A6737-04-001,A6737-04-003,A6734-34-005,A6737-05-002,"
A6737-05-003,"A6737-04-008,A6737-04-004,A6737-05-009,A6737-07-006,A6737-05-002,"
A6737-05-002,"A6737-05-001,A6737-05-003,"
A6737-26-010,"A6737-24-011,A6737-24-012,A6737-26-008,A6737-26-009,A6737-27-008,A6733-07-001,A6737-26-007,"
A6733-25-010,"A6733-35-001,A6733-25-005,A6733-25-002,A6733-25-008,"
A6737-05-008,"A6737-05-007,A6736-04-003,"
A6718-13-007,"A6718-13-005,A6718-13-003,"
A6718-13-006,"A6718-13-005,A6718-13-009,A6718-14-007,"
A6718-13-005,"A6718-13-007,A6718-13-006,A6718-13-003,"
A6718-13-003,"A6718-13-007,A6718-13-005,"
A6718-13-001,"A6718-15-004,"
A6736-05-010,"A6736-11-001,"
A6718-13-009,"A6718-13-006,A6718-14-007,"
A6731-49-003,"A6731-48-005,A6731-38-010,"
A6702-06-003,"A6702-06-002,"
A6731-49-001,"A6731-37-008,A6731-40-010,A6731-44-008,A6731-48-003,"
A6735-08-005,"A6735-08-002,"
A6735-08-002,"A6735-05-006,A6735-08-005,A6735-08-001,"
A6702-06-007,"A6702-06-008,A6702-09-001,"
A6731-49-005,"A6731-65-003,A6731-47-005,A6731-44-007,A6731-45-008,"
A6735-08-001,"A6735-08-002,"
A6712-09-004,"A6712-08-004,"
A6720-06-007,
A6731-49-009,"A6731-54-005,A6731-51-006,A6731-51-002,A6731-50-002,A6731-57-006,A6731-47-007,A6731-53-003,A6731-49-008,A6731-48-008,"
A6731-49-008,"A6731-53-001,A6731-49-009,A6731-50-002,A6731-48-008,"
A6720-06-002,
A6712-09-002,"A6712-09-005,A6712-09-007,"
A6737-12-011,"A6737-16-001,A6737-17-004,A6737-12-005,A6737-11-010,A6737-12-007,"
A6701-17-010,"A6701-20-001,A6701-17-006,"
A6701-17-011,"A6701-21-005,A6701-16-009,"
A6729-02-004,
A6729-02-001,
A6729-02-003,
A6734-01-006,"A6734-02-003,A6734-08-001,A6734-01-005,"
A6732-10-007,"A6732-10-005,A6732-10-006,A6732-10-008,A6732-10-009,"
A6734-21-010,"A6734-34-001,A6734-21-006,A6734-23-011,A6734-20-008,"
A6735-31-009,"A6735-31-006,A6735-31-010,A6735-42-006,A6735-31-005,A6735-42-008,"
A6734-40-002,"A6734-33-006,A6734-34-003,A6734-24-007,A6734-34-005,A6734-31-007,"
A6737-24-008,"A6737-26-004,A6737-26-001,A6737-26-003,A6737-27-001,A6737-27-002,"
A6737-24-009,"A6732-30-003,A6737-24-012,A6732-30-006,A6732-30-008,A6737-24-005,A6737-26-006,A6737-26-002,A6737-26-003,A6737-27-001,A6737-27-003,A6737-27-002,"
