level2,neighbors
A6731-37,"A6731-46,A6731-25,A6731-30,A6731-33,A6731-38,A6731-29,"
A6731-30,"A6731-15,A6731-25,A6731-37,A6731-32,A6731-33,A6731-29,"
A6731-31,"A6731-34,A6731-27,A6731-36,A6731-23,A6731-22,A6731-21,A6731-20,A6731-39,A6731-65,"
A6731-32,"A6731-35,A6731-14,A6731-15,A6731-26,A6731-42,A6731-30,A6731-33,A6731-48,A6731-38,"
A6731-33,"A6731-38,A6731-37,A6731-30,A6731-32,"
A6731-38,"A6731-33,A6731-48,A6731-37,A6731-32,A6731-46,"
A6731-39,"A6731-27,A6731-31,A6731-47,A6731-53,A6731-65,A6731-28,"
A6710-04,"A6710-05,A6710-07,A6710-01,A6710-03,A6707-02,A6708-09,"
A6710-05,"A6710-04,A6707-02,A6710-07,A6710-09,A6707-14,"
A6710-06,"A6711-03,A6711-02,A6711-01,A6710-02,A6719-02,A6710-08,A6709-08,A6709-09,"
A6732-43,"A6727-11,A6732-42,A6732-50,A6727-04,A6732-35,A6732-34,"
A6732-44,"A6732-52,A6732-51,A6732-50,A6732-46,A6732-42,A6732-35,A6732-36,A6732-32,A6732-29,A6732-38,"
A6732-45,"A6732-40,A6732-47,A6732-48,A6732-49,A6732-37,A6732-31,A6732-39,"
A6732-46,"A6732-39,A6732-51,A6732-36,A6732-44,A6732-47,"
A6710-03,"A6710-04,A6710-07,A6710-08,A6710-01,A6710-02,"
A6732-48,"A6732-40,A6732-45,A6732-55,A6732-49,A6733-23,A6733-15,"
A6732-49,"A6732-48,A6732-45,A6732-55,A6732-47,"
A6710-08,"A6710-06,A6710-07,A6710-02,A6710-03,A6719-02,A6710-09,"
A6710-09,"A6710-05,A6710-07,A6719-02,A6707-02,A6710-08,A6707-14,"
A6715-07,"A6714-08,A6712-20,A6714-10,A6715-06,A6715-05,A6715-08,"
A6715-06,"A6714-08,A6714-11,A6714-10,A6715-07,A6716-03,A6715-05,A6715-04,A6715-02,A6716-05,A6716-09,A6715-09,A6715-08,"
A6715-05,"A6715-06,A6712-19,A6715-07,A6712-20,A6715-04,A6715-03,A6715-09,A6715-08,"
A6715-04,"A6715-06,A6715-05,A6715-03,A6715-02,A6715-01,"
A6715-03,"A6712-19,A6715-05,A6715-04,A6715-01,"
A6715-02,"A6715-06,A6715-04,A6715-01,A6716-05,"
A6715-01,"A6712-10,A6712-13,A6712-19,A6712-04,A6715-04,A6716-06,A6715-02,A6716-05,A6715-03,"
A6715-09,"A6715-06,A6715-05,A6715-08,"
A6715-08,"A6715-07,A6715-06,A6715-05,A6715-09,"
A6727-08,"A6727-11,A6727-14,A6727-09,A6727-06,A6727-07,A6727-04,"
A6727-09,"A6727-14,A6727-08,A6727-06,A6727-07,A6727-05,A6728-18,A6728-08,"
A6727-06,"A6727-07,A6727-04,A6727-05,A6727-08,A6727-09,"
A6727-07,"A6727-06,A6727-04,A6727-05,A6727-08,A6727-09,"
A6727-04,"A6727-11,A6732-41,A6732-43,A6727-08,A6727-06,A6727-07,A6727-05,A6727-02,A6727-03,A6732-34,"
A6727-05,"A6727-09,A6727-06,A6727-07,A6727-04,A6727-02,A6727-03,A6728-18,A6728-08,A6728-04,"
A6727-02,"A6727-04,A6727-05,A6727-03,A6727-01,A6731-71,A6728-04,A6728-02,"
A6727-03,"A6727-04,A6727-05,A6727-02,A6727-01,A6732-33,A6732-17,A6731-65,"
A6727-01,"A6731-71,A6727-02,A6727-03,A6731-65,"
A6735-29,"A6735-28,A6735-23,A6735-15,A6735-34,A6735-26,A6735-36,"
A6735-28,"A6735-23,A6735-31,A6735-29,A6735-34,"
A6735-23,"A6735-31,A6735-29,A6735-28,A6735-15,A6735-18,"
A6735-22,"A6735-16,A6735-21,A6735-19,A6735-24,"
A6735-21,"A6735-38,A6735-19,A6735-16,A6735-22,A6735-20,A6735-24,"
A6735-20,"A6735-16,A6735-38,A6735-21,"
A6735-27,"A6735-59,A6735-57,A6735-38,A6735-02,A6735-07,A6735-16,A6735-12,A6735-25,"
A6735-26,"A6735-15,A6735-29,A6735-17,A6735-32,A6735-33,A6735-36,"
A6735-25,"A6735-59,A6735-12,A6735-01,A6735-07,A6735-09,A6735-27,"
A6735-24,"A6735-16,A6735-22,A6735-38,A6735-21,A6735-30,"
A6730-02,"A6729-09,A6726-02,A6730-01,"
A6730-01,"A6729-01,A6729-09,A6730-02,A6718-15,A6726-02,"
A6718-15,"A6718-08,A6730-01,A6718-14,A6718-13,A6718-12,A6718-03,A6729-01,A6718-01,A6726-02,A6718-10,"
A6718-14,"A6731-10,A6718-13,A6718-12,A6731-41,A6729-01,A6718-15,A6728-01,"
A6718-13,"A6718-15,A6718-14,A6718-12,"
A6718-12,"A6718-07,A6718-09,A6718-05,A6718-15,A6718-14,A6718-13,A6718-11,A6718-10,A6718-02,A6731-10,"
A6718-11,"A6718-10,A6718-09,A6718-12,"
A6718-10,"A6718-08,A6718-09,A6718-04,A6718-06,A6718-12,A6718-11,A6718-15,"
A6713-05,"A6717-05,A6713-07,A6713-10,A6713-06,A6713-03,A6717-03,A6713-09,"
A6713-04,"A6702-11,A6702-12,A6713-03,"
A6713-07,"A6713-05,A6713-12,A6713-10,A6713-11,A6713-06,A6713-08,"
A6713-06,"A6713-05,A6713-07,A6713-09,A6713-08,"
A6713-01,"A6702-10,A6702-08,A6717-02,A6713-02,"
A6713-03,"A6702-11,A6702-12,A6713-05,A6713-04,A6713-10,A6713-02,A6717-03,A6717-02,"
A6713-02,"A6702-10,A6702-11,A6717-02,A6713-01,A6713-03,"
A6713-09,"A6713-12,A6717-05,A6713-11,A6717-04,A6713-05,A6716-03,A6716-01,A6716-04,A6713-06,A6713-08,A6717-06,"
A6713-08,"A6713-06,A6713-07,A6713-11,A6713-09,"
A6720-06,"A6720-07,A6720-03,A6720-04,A6720-10,A6720-09,"
A6733-21,"A6733-17,A6733-20,A6733-22,A6733-14,A6733-26,"
A6733-20,"A6737-25,A6733-18,A6737-26,A6737-24,A6733-07,A6733-21,A6733-29,A6733-25,A6733-26,A6733-36,A6733-11,A6733-12,A6733-35,A6733-14,A6733-33,"
A6733-23,"A6733-18,A6732-48,A6733-25,A6733-15,A6732-55,"
A6733-22,"A6733-21,A6733-19,A6733-24,A6733-27,A6733-26,A6733-17,"
A6733-25,"A6733-18,A6733-20,A6733-23,A6733-35,A6732-55,"
A6733-24,"A6733-19,A6733-22,A6733-27,A6733-16,A6733-28,"
A6733-27,"A6733-22,A6733-24,A6733-26,A6733-28,A6733-30,A6733-31,"
